designation,    rho,    P_high
Gaia DR3 430690734813706496 , 856.9170569358514 , 0.9437052382200973
Gaia DR3 421234281977001344 , 437.6919419074138 , 0.7645612361848289
Gaia DR3 421241085205158144 , 2387.261151797657 , 0.9600295631084347
Gaia DR3 421317810502521472 , 422.1051965120413 , 0.7070072082772628
Gaia DR3 421390240829409920 , 0.05355049271337822 , 8.008950622046964e-24
Gaia DR3 421421130234828032 , 14.851317927139577 , 3.909518471014562e-05
Gaia DR3 421216105677334272 , 1000.3345316022672 , 0.9556316071366484
Gaia DR3 2527766172716959360 , 407.01800759570426 , 0.9460352481612597
Gaia DR3 2527798711389815296 , 180.48684450305146 , 0.48326607523102444
Gaia DR3 2527838740485056768 , 1047.7305163138724 , 0.9274532143121763
Gaia DR3 2527863067179694976 , 1034.1613057079692 , 0.9739075036536157
Gaia DR3 2527923265441357440 , 1545.959933409888 , 0.9858692821430525
Gaia DR3 2528082144871347584 , 287.91268913501176 , 0.7104341870226848
Gaia DR3 2528126881250726144 , 566.1406098942008 , 0.8986692023691828
Gaia DR3 2528138563561711360 , 1174.9783671753812 , 0.974285985459763
Gaia DR3 2528227035593363840 , 1532.1165670940704 , 0.959119966192859
Gaia DR3 2528296583999146240 , 168.01890353786354 , 0.3927488186405661
Gaia DR3 2528450481266814464 , 499.37830831965306 , 0.8732759088013285
Gaia DR3 2528464156442743936 , 195.17511997916117 , 0.697791474287305
Gaia DR3 2528464156442744192 , 190.8737817768378 , 0.32334350547284463
Gaia DR3 2523214160219164032 , None , None
Gaia DR3 2528502192673544960 , 9.002942152988888 , 0.00012616926154194303
Gaia DR3 2523251131297733632 , 310.5805069669268 , 0.8167893464619979
Gaia DR3 2523547277882404352 , 331.84557677569035 , 0.9630138354858732
Gaia DR3 2523618127662728576 , None , None
Gaia DR3 2523646955483214592 , 1.5045832604429568 , 1.1450002431120587e-08
Gaia DR3 2529920631392580992 , 108.42057063849217 , 0.11657590075423141
Gaia DR3 2529927709498735488 , 498.32501917464333 , 0.9177907197842042
Gaia DR3 2529931622213191040 , 47.08876835607783 , 0.01002794899764788
Gaia DR3 2530271581760224896 , None , None
Gaia DR3 2530405550380697216 , 142.5566089587607 , 0.28420044276065526
Gaia DR3 2526535028932107520 , 520.9716608276408 , 0.847497590633195
Gaia DR3 2526566365013535232 , 687.266654345965 , 0.9440840414822793
Gaia DR3 2526580040189355136 , 1051.3008664887375 , 0.9913923786962497
Gaia DR3 2526744726415968384 , 41.87778111190635 , 0.0023844770440198254
Gaia DR3 2526790940262580864 , 364.9251325310523 , 0.714510242037681
Gaia DR3 2526814648482583424 , 0.488977673696377 , 1.4001515801181067e-15
Gaia DR3 2526862202360516224 , 69.47698428904079 , 0.007105701522654336
Gaia DR3 2526899001640197248 , 116.75147060627523 , 0.32275754606410817
Gaia DR3 2526925389919277056 , 118.35042977554923 , 0.19541260688336126
Gaia DR3 2527046061321024512 , 261.3975804941002 , 0.581907500871554
Gaia DR3 2527449788246574720 , 420.59924865621906 , 0.7942141317591572
Gaia DR3 2346704198492148352 , 1078.15866985177 , 0.97682259713416
Gaia DR3 2346716190040806528 , 43.51954089624033 , 0.019861041072532296
Gaia DR3 2346731686282982656 , 73.48969969874449 , 0.06581258431768372
Gaia DR3 2347054118068135040 , 282.51549772916127 , 0.7266704756433511
Gaia DR3 2347063154679290752 , 296.6264461538034 , 0.7705553371078006
Gaia DR3 2347255122537505792 , 35.615862102065606 , 0.0011658821071216562
Gaia DR3 2347327896463354240 , None , None
Gaia DR3 2347327930823092224 , 542.583937014913 , 0.9264243428691313
Gaia DR3 2347336829995352448 , 975.2012748025327 , 0.9785279380406846
Gaia DR3 2347490624184128640 , 846.5663546313663 , 0.9595418829749663
Gaia DR3 2347685924937017856 , 569.6924258125612 , 0.9595528488903153
Gaia DR3 2347726435068500096 , 294.0501987915397 , 0.4912269422900545
Gaia DR3 2347808554843141888 , 31.209365498272078 , 0.0028305971360693296
Gaia DR3 2347882290841707008 , 67.99069060891456 , 0.07750296505189208
Gaia DR3 2347953071902998784 , 156.17704596711914 , 0.3261325993910005
Gaia DR3 2347995403100397952 , 762.07030279253 , 0.9528553228797628
Gaia DR3 2359963003053244416 , 964.1426598909204 , 0.9715311552020236
Gaia DR3 2360000833125244032 , 73.43934104002436 , 0.06345775899362371
Gaia DR3 2348070616567676288 , 35.72082882817775 , 0.001194161299389569
Gaia DR3 2348102571124426112 , 1148.2849662280332 , 0.9718047597210131
Gaia DR3 2348243995807708288 , 242.9886897534309 , 0.6937492288606166
