designation,    u,    v,    w
Gaia DR3 2795969936706215296,-22.500804518634542,50.507128999946005,-51.471598887790456
Gaia DR3 2795969941001054720,-22.53899244786415,50.590459000802184,-51.55545334502068
Gaia DR3 2779388446660787584,-15.84718313372385,29.927117415410276,-38.496345673538265
Gaia DR3 2796031822889944576,-17.702377528157655,37.21790192115484,-38.48654887015079
Gaia DR3 2799491985982491264,-13.840616124719864,31.283422555603337,-29.715305542471
Gaia DR3 2796096109960502400,-10.416693908704435,21.22780344142594,-21.54054844882898
Gaia DR3 2779588179819883904,-14.574501800846926,28.371716030601835,-36.08177410913566
Gaia DR3 2799623480701216512,-25.440806303912453,53.45815101541442,-51.98121917968935
Gaia DR3 2796222107121160960,-15.641244906894658,29.66282774858302,-30.84483955866215
Gaia DR3 2796224095692532096,-16.345197469041487,30.87317485755969,-32.08098952660053
Gaia DR3 2792262456511221504,-18.10484790663044,43.20293605464458,-50.78860063136459
Gaia DR3 2792263865260986752,-17.32352497910378,42.00931660756443,-49.30504348667105
Gaia DR3 2792264999132382976,-20.430183314741107,49.01995048359437,-57.559833936916334
Gaia DR3 2779701670035757312,-18.658634627979993,35.55870167591952,-44.17120999727438
Gaia DR3 2779731489993004288,-21.02964380517784,39.14350468542503,-49.20234873907399
Gaia DR3 2779735819320035840,-9.391447795461463,17.18506464349114,-21.645982648789616
Gaia DR3 2779735823615714176,-9.239354253787793,16.908084929132308,-21.29994126955898
Gaia DR3 2799715255562477696,-26.45465824290142,53.230938448162036,-51.43419764290163
Gaia DR3 2796314053780914432,-20.879036765620675,38.94749691051368,-40.561964947448814
Gaia DR3 2779799522274982272,-13.729084402537977,26.066738333110912,-32.2702929754259
Gaia DR3 2779801038399084800,-18.852806569934188,35.74028878789521,-44.23713359827994
Gaia DR3 2792368628103287552,-13.89057411460605,33.33363795575176,-38.37245020509577
Gaia DR3 2792394844583631488,-10.62699133584173,24.72754030287619,-28.853990694470127
Gaia DR3 2779842579322831104,-21.02656582887267,38.69233794533226,-47.657011159439286
Gaia DR3 2796445956520807424,-15.626558225967397,28.984306710810973,-29.227019504806197
Gaia DR3 2779966480539436416,-18.787867939569196,41.062541832897104,-50.748734276667136
Gaia DR3 2799916741068160896,-14.907090860504834,32.5812981793358,-30.478827590994918
Gaia DR3 2792563894496829696,-15.219742735515212,36.71838254734597,-41.94801199236853
Gaia DR3 2799941239561695488,-25.015905370931605,53.30059822607922,-49.848183998585064
Gaia DR3 2780068941279123712,-18.859750186246956,40.011566729038506,-49.266528606909674
Gaia DR3 2792669550691942784,-18.87858538660471,44.14081479203803,-50.19450996365538
Gaia DR3 2796640299496861440,-27.504069672683947,51.50884351437735,-51.47700630803439
Gaia DR3 2800051431241967488,-23.43765282560715,49.1682920751078,-45.48823314199325
Gaia DR3 2792743699007282432,-18.975837119824362,46.53459586960741,-51.921526377152986
Gaia DR3 2792745554433153792,-18.16340300850704,44.38926229674411,-49.48681057778661
Gaia DR3 2796706682511270016,-23.508055625168012,45.408400430327575,-44.56188377143805
Gaia DR3 2780300628995017600,-11.437810908898344,25.055826351330076,-30.106723775237718
Gaia DR3 2780347152080719872,-6.184884498954912,13.880585073273387,-16.555915204232782
Gaia DR3 2792881000522281984,-11.426916497241198,24.951689184236315,-28.50207299857294
Gaia DR3 2780399481962288256,-13.411167759845856,29.456942185198052,-34.71841093624554
Gaia DR3 2780431333439677952,-12.335992641125909,24.82787615335678,-30.61982992748112
Gaia DR3 2780476172898303744,-16.222818088559197,31.87840103396266,-38.976481367672974
Gaia DR3 2780554684900462592,-22.21076087459396,42.29287499274468,-52.02994171938221
Gaia DR3 2780561556848136704,-20.572355228144584,38.67351042719699,-47.6491914124205
Gaia DR3 2793133819476751104,-15.842435803373537,35.3414759013325,-39.406709438750454
Gaia DR3 2780637698028307200,-13.208737508090826,25.548335954277604,-30.75195423650984
Gaia DR3 2793140347827089792,-22.254190916402067,48.62217083317489,-54.206035867337754
Gaia DR3 2793182094909155584,-17.68890968118871,39.781912290816564,-44.18479394720533
Gaia DR3 2780742151633298176,-16.08424652993326,32.38101389014795,-38.63375205609486
Gaia DR3 2793223945070580096,-13.656048470102107,29.290101473773422,-32.7197236086402
Gaia DR3 2793300051891048448,-21.465720201198543,46.12810898603554,-50.69874862668383
