Sol                  ranks  141 of  601 stars in decreasing density
Sol                  ranks  370 of  601 stars in decreasing residuals
Sol                  ranks   43 of   77 stars with |v| within 1.250000


           Gaia id            |   rho   |    D    |    u     |    v     |    w     |    U     |    V     |    W     
                              |         |         |   [pc]   |   [pc]   |   [pc]   |  [km/s]  |  [km/s]  |  [km/s]  
------------------------------------------------------------------------------------------------------------------------
Gaia DR3 1187536677565610624  |8.796e-01|6.379e-01| 1.675e+01| 7.137e+00| 2.793e+01|-3.766e+00|-4.018e+01|-8.418e+00
Gaia DR3 6600863910701061632  |5.484e+00|4.702e-01| 8.222e+00| 2.154e+00|-1.525e+01| 5.213e+00| 7.249e+00| 5.351e-01
Gaia DR3 2281046483684995840  |6.530e-01|6.704e-01|-6.802e+00| 1.427e+01| 4.872e+00| 8.682e+00|-4.389e+01|-1.599e+00
Gaia DR3 5484637605943546112  |6.231e+00|4.603e-01|-2.132e+00|-3.541e+01|-1.629e+01|-2.519e+01|-1.196e+00| 3.576e+00
Gaia DR3 3080863574242572032  |7.925e+00|4.422e-01|-1.229e+01|-1.133e+01| 3.373e+00| 2.928e+00| 8.289e+00|-2.558e+00
Gaia DR3 5929051723344715008  |2.671e-01|7.781e-01| 2.122e+01|-1.132e+01|-3.379e+00|-6.459e+01| 2.387e+00| 4.559e+00
Gaia DR3 1400929894285124224  |2.225e-01|8.021e-01| 3.705e+00| 1.374e+01| 1.870e+01| 1.387e+00|-5.495e-01|-4.265e+01
Gaia DR3 4728513634300803968  |3.017e+00|5.195e-01| 1.596e+00|-2.304e+01|-3.095e+01| 6.256e+00| 2.100e+01|-1.129e-01
Gaia DR3 1232349301180166016  |7.317e+00|4.481e-01| 1.306e+01| 2.480e+00| 3.031e+01|-2.092e+01|-2.904e+00| 2.405e+00
Gaia DR3 6356603073264951552  |5.819e-02|1.003e+00| 2.127e+01|-2.119e+01|-2.109e+01| 3.718e+01|-1.929e+01| 4.985e+01
Gaia DR3 303876117377381376   |6.915e-01|6.640e-01|-1.472e+01| 1.477e+01|-1.201e+01|-2.101e+01|-2.946e+01| 2.311e+01
Gaia DR3 2670240370138225152  |5.838e-01|6.830e-01| 1.105e+01| 1.565e+01|-1.767e+01|-2.987e+01| 1.921e+00|-2.572e+01
Gaia DR3 246159148562933760   |4.880e-01|7.037e-01|-3.468e+01| 1.666e+01|-1.691e+00| 5.268e+01|-9.880e+00|-2.011e+01
Gaia DR3 482846859145086208   |7.436e+00|4.469e-01|-2.202e+01| 1.588e+01| 7.290e+00|-2.944e+01|-1.015e+01|-6.349e+00
Gaia DR3 657608666099404544   |3.354e-02|1.100e+00|-1.328e+01|-7.832e+00| 8.934e+00|-3.499e+01|-9.097e+01| 1.518e+01
Gaia DR3 2009481748875806976  |5.315e-01|6.938e-01|-2.224e+00| 6.141e+00|-3.653e-01|-4.163e+01|-2.770e+01|-6.999e+00
Gaia DR3 6823750688771587840  |1.055e+00|6.189e-01| 6.737e+00| 4.685e+00|-9.971e+00|-4.769e+01|-5.592e-01|-7.470e+00
Gaia DR3 685042030968334592   |4.576e+00|4.846e-01|-2.696e+01|-1.313e+01| 2.266e+01|-1.819e+01|-5.701e+00| 1.344e+01
Gaia DR3 3008738738196620160  |1.026e+00|6.218e-01|-2.510e+01|-1.867e+01|-1.289e+01|-1.486e+01| 2.158e+01|-3.971e+00
Gaia DR3 4142150439766782976  |3.224e+00|5.137e-01| 3.331e+01| 7.023e+00| 8.938e+00| 4.187e+01| 7.939e+00| 3.728e+00
Gaia DR3 685891575499521664   |2.478e+00|5.368e-01|-2.757e+01|-1.272e+01| 2.259e+01| 2.086e+01|-6.971e+00| 1.037e+01
Gaia DR3 4900721791142464384  |1.210e-01|8.879e-01| 1.366e+01|-1.852e+01|-3.133e+01|-3.160e+01|-2.256e+01|-4.165e+01
Gaia DR3 6546793777137875200  |3.807e-02|1.077e+00| 1.530e+01|-1.261e-01|-3.182e+01| 1.881e+01|-3.520e+01| 5.103e+01
Gaia DR3 1974270159574386176  |4.226e-01|7.208e-01|-1.040e+00| 2.653e+01|-3.034e+00| 2.844e+01| 2.931e-01|-2.776e+01
Gaia DR3 5291028284200511872  |9.958e-02|9.172e-01| 9.177e-01|-1.550e+01|-4.352e+00| 2.330e+01|-1.454e+01| 4.190e+01
Gaia DR3 487421342915039360   |5.000e-01|7.009e-01|-2.482e+01| 1.981e+01| 4.546e+00|-4.503e+01|-3.261e+01| 8.835e+00
Gaia DR3 4478105801013068160  |1.928e+00|5.597e-01| 2.758e+01| 1.965e+01| 6.962e+00| 8.124e+00| 2.591e+01|-1.627e+00
Gaia DR3 2252172964741830528  |5.039e-02|1.027e+00|-1.379e+00| 3.515e+01| 1.490e+01|-1.370e+01|-5.204e+01|-5.215e+01
Gaia DR3 76615005311213056    |5.283e-01|6.945e-01|-2.319e+01| 1.374e+01|-2.840e+01| 1.468e+01|-4.441e+01|-1.913e+01
Gaia DR3 2079782151537655936  |1.912e+00|5.605e-01| 3.933e+00| 1.970e+01| 3.763e+00|-1.736e+01| 1.280e+01| 8.051e+00
Gaia DR3 832607207358721792   |5.730e+00|4.668e-01|-1.894e+01| 6.347e+00| 3.357e+01| 1.847e+01| 7.099e+00|-2.670e+00
Gaia DR3 4177911333902753280  |1.938e+00|5.592e-01| 1.633e+01| 8.014e+00| 2.709e+00| 2.472e+00| 2.202e+01|-5.558e+00
Gaia DR3 2440787072018743936  |5.477e-01|6.903e-01| 2.718e+00| 1.485e+01|-2.842e+01| 5.381e+01| 4.089e+00|-1.476e+01
Gaia DR3 980444624548453376   |5.899e+00|4.645e-01|-3.235e+01| 8.203e+00| 1.498e+01|-3.511e+01|-9.154e+00|-3.878e+00
